Name,BusinessEntityID,Revenue,SquareFeet,NumberEmployees
Spare Parts Co.,1234,5087977.212,19000,17
Township Inn,1222,5087977.212,18000,11
Impervious Paint Company,1380,5087977.212,18000,10
Finer Sporting Goods,1384,5087977.212,18000,16
Sports Products Store,1408,5087977.212,78000,99
Racing Tours,1396,5087977.212,36000,34
Finished Parts Shop,1400,5087977.212,36000,40
Metro Sports Equipment,1324,5087977.212,41000,49
Neighborhood Bicycle Storehouse,1286,5087977.212,17000,10
Perfect Toys,1300,5087977.212,76000,93
Outdoor Toy Store,1104,5087977.212,8000,8
Community Department Stores,1114,5087977.212,36000,34
Major Amusement Company,1142,5087977.212,36000,37
Spa and Exercise Outfitters,962,5087977.212,79000,98
Wheels Inc.,942,5087977.212,19000,16
Racing Supply Distributors,946,5087977.212,38000,41
Steel Inc.,982,5087977.212,74000,67
First Center,854,5087977.212,39000,46
Brand New Bikes,866,5087977.212,73000,64
Registered Cycle Store,808,5087977.212,77000,87
Ace Bicycle Supply,628,5087977.212,73000,81
Full Sports Supply,590,5087977.212,38000,47
Racing Store,594,5087977.212,78000,92
Atypical Bike Company,508,5087977.212,25000,20
Favorite Toy Distributor,482,5087977.212,77000,88
Country Parts Shop,434,5087977.212,21000,14
Transportation Options,418,6683536.658,20000,17
Workout Emporium,380,6683536.658,39000,36
Valley Toy Store,324,6683536.658,9000,6
Vinyl and Plastic Goods Corporation,312,6683536.658,41000,43
Designated Distributors,346,6683536.658,72000,61
Commuter Bicycle Store,490,6683536.658,22000,17
Bikes for Two,510,6683536.658,22000,18
Scratch-Resistant Finishes Company,466,6683536.658,21000,16
Farthest Bike Store,580,6683536.658,74000,80
Courteous Bicycle Specialists,566,6683536.658,10000,8
Requisite Part Supply,552,6683536.658,39000,35
Retail Mall,592,6683536.658,79000,91
Petroleum Products Distributors,618,6683536.658,78000,86
Two-Wheeled Transit Company,608,6683536.658,38000,34
Camping and Sports Store,626,6683536.658,77000,80
Corner Bicycle Supply,648,6683536.658,17000,11
Sundry Sporting Goods,812,6683536.658,7000,5
Certified Sports Supply,806,6683536.658,78000,86
Vigorous Exercise Company,828,6683536.658,72000,61
Price-Cutter Discount Bikes,864,6683536.658,70000,61
Future Bikes,844,6683536.658,74000,81
Original Bicycle Supply Company,852,6683536.658,38000,43
Custom Sales and Service,750,6683536.658,39000,48
Sixth Bike Store,738,6683536.658,37000,42
Urban Sports Emporium,732,6683536.658,24000,29
Citywide Service and Repair,768,6683536.658,79000,92
Finer Riding Supplies,780,6683536.658,78000,98
Metro Manufacturing,986,6683536.658,36000,41
Wholesale Parts,980,6683536.658,70000,64
Greater Bike Store,998,6683536.658,39000,47
Standard Bikes,948,6683536.658,38000,42
Finer Sales and Service,956,6683536.658,77000,95
The Showroom,960,6683536.658,79000,97
Our Sporting Goods Store,886,6683536.658,76000,79
Rural Cycle Emporium,928,6683536.658,21000,11
Retail Discount Store,1144,6683536.658,37000,34
Efficient Cycling,1130,6683536.658,77000,93
General Industries,1132,6683536.658,42000,48
Economy Center,1112,6683536.658,35000,31
The Commissary,1106,6683536.658,9000,6
Eastside Parts Shop,1078,6683536.658,17000,10
Sharp Bikes,1022,6683536.658,19000,19
Cross-Country Riding Supplies,1010,6683536.658,36000,37
Online Bike Warehouse,1062,6683536.658,21000,17
Racing Partners,1298,6683536.658,79000,92
Gear-Shift Bikes Limited,1288,6683536.658,21000,11
Rapid Bikes,1322,6683536.658,40000,46
Tire Exchange,1394,6683536.658,36000,31
Professional Cyclists,1406,6683536.658,77000,98
"Health Spa, Limited",1418,6683536.658,40000,46
Acceptable Sales & Service,1224,6683536.658,21000,12
Twelfth Bike Store,1236,6683536.658,21000,18
Up-To-Date Sports,1252,6683536.658,26000,20
Metal Clearing House,1276,6683536.658,9000,5
Refined Department Stores,1264,6683536.658,7000,8
Leisure Activities,1156,6683536.658,22000,16
Bikes for Kids and Adults,1162,6683536.658,36000,30
Purple Bicycle Company,1180,6683536.658,27000,20
Road Way Sales and Rental,1212,6683536.658,10000,6
Non-Slip Pedal Company,1192,6683536.658,11000,8
General Supplies,1200,6683536.658,21000,12
One Bike Company,1798,6683536.658,41000,49
Major Cycling,1828,6683536.658,77000,79
Top Sports Supply,1840,6683536.658,78000,85
City Cycling,1488,6683536.658,37000,36
Low Price Cycles,1476,6683536.658,36000,30
Remote Bicycle Specialists,1444,6683536.658,19000,13
Leather Seat Factory,1430,6683536.658,72000,64
Retreat Inn,1988,6683536.658,7000,8
Mercantile Outlet,1972,6683536.658,71000,66
Tenth Bike Store,1896,6683536.658,23000,18
Red Bicycle Company,1882,6683536.658,18000,11
Active Life Toys,1916,6683536.658,20000,18
Rural Bicycle Supply,1908,6683536.658,10000,6
Fun Times Club,1900,7259567.876,22000,14
Timely Shipping Service,1920,7259567.876,24000,20
Trendy Department Stores,1886,7259567.876,9000,5
Eighth Bike Store,1874,7259567.876,21000,19
Technical Parts Manufacturing,1990,7259567.876,7000,5
Exercise Center,1978,7259567.876,23000,19
Permanent Finish Products,1970,7259567.876,79000,100
Curbside Sporting Goods,1446,7259567.876,20000,10
Bicycle Merchandise Warehouse,1426,7259567.876,69000,58
Metropolitan Manufacturing,1478,7259567.876,39000,31
Engineered Bike Systems,1490,7259567.876,40000,37
Professional Containers and Packaging Co.,1796,7259567.876,38000,46
Valley Bicycle Distributors,1838,7259567.876,76000,84
Wheel Gallery,1850,7259567.876,79000,90
Fitness Department Stores,1814,7259567.876,37000,41
Transport Bikes,1808,7259567.876,41000,44
Separate Parts Corporation,1184,7259567.876,21000,16
Weekend Bike Tours,1196,7259567.876,7000,4
Sturdy Toys,1214,7259567.876,9000,7
Retail Sporting Goods,1128,7259567.876,78000,92
Paints and Solvents Company,1158,7259567.876,18000,13
Reasonable Bicycle Sales,1266,7259567.876,10000,6
Many Bikes Store,1278,7259567.876,10000,6
Mountain Bike Center,1254,7259567.876,20000,18
Racing Toys,1204,7259567.876,18000,14
Finish and Sealant Products,1244,7259567.876,22000,17
Brown Bicycle Company,1226,7259567.876,19000,13
Bike Dealers Association,1414,7259567.876,40000,40
Rally Master Company Inc,1404,7259567.876,77000,97
Discount Tours,1392,7259567.876,28000,28
Security Racks and Locks Wholesalers,1320,7259567.876,41000,43
Frugal Bike Shop,1290,7259567.876,21000,12
Trailblazing Sports,1296,7259567.876,78000,91
Small Bike Shop,1066,7259567.876,23000,19
Distant Inn,1002,7259567.876,38000,49
Bike World,1014,7259567.876,35000,31
Metropolitan Sports Supply,1026,7259567.876,21000,13
First Cycle Store,1082,7259567.876,9000,6
Affordable Sports Equipment,1108,7259567.876,8000,4
Highway Bike Shop,1134,7259567.876,40000,49
Vale Riding Supplies,1146,7259567.876,37000,31
Associated Bikes,930,7259567.876,7000,8
Real Sporting Goods,874,7259567.876,72000,76
Safe Toys,882,7259567.876,74000,73
Futuristic Sport Distributors,954,7259567.876,78000,94
Big-Time Bike Store,958,7259567.876,80000,96
The Bicycle Accessories Company,950,7259567.876,37000,43
Locks Company,990,7259567.876,40000,43
Commercial Sporting Goods,978,7259567.876,74000,61
Principal Bike Company,776,7259567.876,79000,96
Fashionable Bikes and Accessories,764,7259567.876,76000,90
Vehicle Shop,742,7259567.876,38000,44
Distinctive Store,754,7259567.876,37000,46
Regional Manufacturing,850,7259567.876,38000,40
Roadway Supplies,840,7259567.876,73000,79
Retail Sporting Equipment,862,7259567.876,72000,58
Farthermost Bike Shop,816,7259567.876,8000,7
Utilitarian Sporting Goods,824,7259567.876,72000,55
Downtown Hotel,804,7259567.876,74000,85
Western Bike Supplies,640,7259567.876,38000,48
Westside Plaza,652,7259567.876,74000,83
Rural Department Store,630,7259567.876,35000,31
Outdoor Sporting Goods,614,7259567.876,74000,84
Fitness Cycling,670,7259567.876,18000,16
Mechanical Products Ltd.,556,7259567.876,38000,37
Professional Cycle Store,570,7259567.876,10000,2
Bike Universe,572,7259567.876,28000,28
Initial Bike Company,516,7259567.876,19000,13
Futuristic Bikes,526,7259567.876,77000,79
Number 1 Supply,474,7259567.876,75000,76
Golf and Cycle Store,478,7259567.876,75000,86
Metallic Paint and Overcoat Co,458,7259567.876,26000,28
Coalition Bike Company,492,7259567.876,23000,18
"Unicycles, Bicycles, and Tricycles",470,7259567.876,17000,10
Systematic Sales,338,7259567.876,73000,55
Fun Toys and Bikes,316,7259567.876,6000,2
Area Bike Accessories,302,7259567.876,9000,8
Brightwork Company,368,7259567.876,36000,38
Exertion Activities Club,400,7259567.876,38000,32
Juvenile Sports Equipment,440,8086073.676,20000,18
Lubricant and Grease Suppliers,414,8086073.676,37000,30
Blue-Ribbon Bike Company,394,8086073.676,9000,6
Next-Door Bike Store,292,8086073.676,21000,13
New Bikes Company,310,8086073.676,39000,40
Worthwhile Activity Store,326,8086073.676,8000,7
eCommerce Bikes,340,8086073.676,69000,58
Global Plaza,334,8086073.676,19000,19
Tiny Bike Boutique,352,8086073.676,6000,4
Acclaimed Bicycle Company,354,8086073.676,73000,61
Distinctive Cycles Sales & Service,362,8086073.676,75000,79
Leading Bike Distributors,364,8086073.676,18000,13
Activity Center,366,8086073.676,37000,37
Eighty Toy Stores,502,8086073.676,37000,42
Front Runner Bikes,480,8086073.676,77000,87
Industrial Supplies,476,8086073.676,73000,79
Topnotch Bikes,468,8086073.676,22000,13
Sporting Goods and Bicycle Shop,462,8086073.676,78000,91
Widget Bicycle Specialists,514,8086073.676,38000,48
Hobby Store,568,8086073.676,6000,5
Racks and Security Systems,554,8086073.676,39000,36
Principal Bicycle Supply,680,8086073.676,39000,36
Pedals Warehouse,722,8086073.676,20000,16
Wonderful Bikes Inc.,710,8086073.676,37000,34
Bike Rims Company,698,8086073.676,80000,97
Tread Industries,616,8086073.676,77000,85
Tandem Bicycle Store,620,8086073.676,37000,46
Mountain Emporium,610,8086073.676,37000,31
Ultimate Bike Shop,654,8086073.676,78000,84
Distance Bikes,650,8086073.676,20000,12
Excellent Riding Supplies,814,8086073.676,9000,6
Bike Goods ,826,8086073.676,73000,58
Sensational Discount Store,842,8086073.676,73000,80
Elemental Sporting Goods,752,8086073.676,41000,49
Touring Services,740,8086073.676,38000,43
Superlative Bikes,734,8086073.676,36000,30
Extreme Toy Store,766,8086073.676,75000,91
One-Piece Handle Bars,778,8086073.676,80000,97
Rally Day Mall,792,8086073.676,75000,92
Manufacturers Inc,988,8086073.676,39000,42
Games and Sport Supply Company,1000,8086073.676,42000,48
Resident Cycle Shop,968,8086073.676,38000,43
Qualified Sales and Repair Services,884,8086073.676,75000,76
Tough and Reliable Parts,898,8086073.676,40000,43
Quitting Business Distributors,910,8086073.676,40000,49
Parts Shop,922,8086073.676,38000,31
Retail Toy Store,1096,8086073.676,8000,7
General Associates,1090,8086073.676,9000,4
Exchange Parts Inc.,1080,8086073.676,9000,8
Underglaze and Finish Company,1030,8086073.676,18000,11
Better Bike Shop,1046,8086073.676,19000,19
Stylish Department Stores,1012,8086073.676,39000,34
Exemplary Cycles,1024,8086073.676,20000,16
Retread Tire Company,1064,8086073.676,20000,18
Unified Sports Company,1310,8086073.676,80000,98
Sports Sales and Rental,1338,8086073.676,72000,64
Selected Distributors,1378,8086073.676,27000,27
Pedal Systems Company,1416,8086073.676,39000,43
Metro Bike Mart,1362,8086073.676,76000,86
Every Bike Shop,1350,8086073.676,76000,80
Daring Rides,1240,8086073.676,10000,5
Consolidated Sales,1164,8086073.676,38000,31
Optimal Bikes,1168,8086073.676,10000,8
New and Used Bicycles,1182,8086073.676,20000,18
Noiseless Gear Company,1202,8086073.676,20000,13
Variety Bike Outlet,1194,8086073.676,9000,6
Executive Discount Store,1826,8086073.676,39000,35
Village Tours,1468,8086073.676,40000,37
Cycles and Scooters,1460,8086073.676,35000,33
Spoke Manufacturers,1428,8086073.676,74000,61
Sunny Place Bikes,1456,8086073.676,39000,31
Functional Store North,1942,8086073.676,19000,12
Recreation Supplies,1954,8086073.676,22000,18
Budget Bike Company,1872,8086073.676,22000,18
Racing Association,1862,8086073.676,76000,85
Retirement Activities Association,1884,8086073.676,11000,8
Valuable Bike Parts Company,1898,8086073.676,20000,16
Reliable Brake Systems,1930,8086073.676,7000,6
Chain and Chain Tool Distributions,1902,8086073.676,20000,12
Simple Bike Parts,1918,8086073.676,21000,19
West Side Mart,1892,9585124.948,19000,18
Sports Store,1960,9585124.948,76000,95
Extended Tours,1964,9585124.948,78000,97
Nearby Cycle Shop,1984,9585124.948,20000,14
Variety Cycling,1440,9585124.948,21000,19
Essential Bike Works,1484,9585124.948,39000,34
Tachometers and Accessories,1472,9585124.948,25000,28
Cycling Goods,1802,9585124.948,37000,47
Metropolitan Bicycle Supply,1844,9585124.948,78000,87
Downhill Bicycle Specialists,1832,9585124.948,77000,81
Commerce Bicycle Specialists,1220,9585124.948,19000,10
Little Sports Center,1208,9585124.948,10000,4
Exceptional Cycle Services,1152,9585124.948,27000,22
Express Bike Services,1140,9585124.948,38000,40
Mail Market,1232,9585124.948,19000,16
Instruments and Parts Company,1284,9585124.948,8000,9
Outdoor Aerobic Systems Company,1272,9585124.948,8000,3
Closest Bicycle Store,1260,9585124.948,22000,12
Authentic Sales and Service,1386,9585124.948,20000,19
Shipping Specialists,1382,9585124.948,20000,13
Exclusive Bicycle Mart,1410,9585124.948,77000,100
Oils and Fluids Warehouse,1398,9585124.948,37000,37
Consumer Equipment,1402,9585124.948,37000,43
Nearby Sporting Goods,1326,9585124.948,71000,52
Exhibition Showroom,1302,9585124.948,77000,94
Leisure Clearing House,1102,9585124.948,20000,10
Tubeless Tire Company,1122,9585124.948,75000,89
Area Sheet Metal Supply,1116,9585124.948,36000,37
Number One Bike Co.,944,9585124.948,40000,40
Cycles Wholesaler & Mfg.,940,9585124.948,21000,15
Riding Cycles,984,9585124.948,74000,70
Central Bicycle Specialists,868,9585124.948,71000,67
Action Bicycle Specialists,856,9585124.948,40000,49
Rampart Amusement Company,810,9585124.948,75000,88
Vigorous Sports Store,658,9585124.948,73000,82
Uttermost Bike Shop,602,9585124.948,20000,19
Metro Metals Co.,596,9585124.948,77000,93
Channel Outlet,588,9585124.948,40000,46
Prosperous Tours,534,9585124.948,79000,99
Bulk Discount Store,432,9585124.948,21000,17
Bike Boutique,422,10475367.08,41000,49
Bikes Anyone?,424,10475367.08,27000,22
Small Cycle Store,392,10475367.08,25000,28
Margie's Travel,404,10475367.08,35000,34
Kickstand Sellers,406,10475367.08,8000,3
Work and Play Association,382,10475367.08,22000,12
Novelty Bikes,360,10475367.08,74000,70
Metropolitan Sales and Rental,320,10475367.08,6000,4
Retail Sales and Service,344,10475367.08,18000,14
Purchase Mart,328,10475367.08,38000,49
The Bike Mechanics,298,10475367.08,18000,16
Clamps & Brackets Co.,306,10475367.08,17000,10
Outdoor Distributors,530,10475367.08,36000,39
Metro Bike Works,540,10475367.08,77000,100
Painters Bicycle Specialists,544,10475367.08,24000,27
Modern Bike Store,520,10475367.08,21000,15
Eastside Sporting Goods,548,10475367.08,19000,17
Online Bike Sellers,560,10475367.08,39000,40
Independent Outlet,576,10475367.08,25000,22
Field Trip Inc,452,10475367.08,35000,33
Tire Company,454,10475367.08,37000,45
Fourth Bike Store,444,10475367.08,9000,3
Historic Bicycle Sales,488,10475367.08,38000,40
Curbside Universe,584,10475367.08,73000,82
Mechanical Sports Center,604,10475367.08,40000,40
Riverside Company,634,10475367.08,38000,33
Full-Service Bike Store,686,10475367.08,38000,39
Only Bikes and Accessories,704,10475367.08,40000,43
Grand Discount Store,692,10475367.08,75000,94
Casual Bicycle Store,664,10475367.08,18000,10
Weekend Tours,820,10475367.08,9000,9
Lease-a-Bike Shop,832,10475367.08,71000,67
Active Cycling,836,10475367.08,73000,73
Super Sports Store,846,10475367.08,78000,100
Sales and Supply Company,798,10475367.08,75000,95
Outdoor Equipment Store,786,10475367.08,76000,89
Professional Sporting Goods,772,10475367.08,78000,94
Famous Bike Sales and Service,716,10475367.08,26000,25
Wholesale Bikes,728,10475367.08,27000,27
Grand Sport Boutique,746,10475367.08,39000,46
Handy Bike Services,760,10475367.08,76000,88
Leather and Vinyl Manufacturing,974,10475367.08,68000,52
Economic Parts Supply,1006,10475367.08,40000,43
Incomparable Bicycle Store,994,10475367.08,41000,45
Convenient Bike Shop,904,10475367.08,38000,46
Blue Bicycle Company,916,10475367.08,36000,40
Expert Sports Store,890,10475367.08,77000,81
Bicycle Outfitters,878,10475367.08,72000,67
Seventh Bike Store,1086,10475367.08,10000,2
Mountain Bike Store,1036,10475367.08,22000,14
Traditional Department Stores,1052,10475367.08,18000,14
Fitness Sport Boutique,1070,10475367.08,23000,18
Recreation Systems,1074,10475367.08,20000,14
Trusted Catalog Store,1018,10475367.08,25000,25
Wheelsets Storehouse,1316,10475367.08,73000,66
Catalog Store,1332,10475367.08,69000,55
Larger Cycle Shop,1356,10475367.08,77000,83
Exotic Bikes,1344,10475367.08,75000,73
Fashionable Department Stores,1422,10475367.08,68000,52
Friendly Bike Shop,1372,10475367.08,39000,30
Glossy Bikes,1248,10475367.08,22000,19
Eleventh Bike Store,1176,10475367.08,22000,18
"Fabrikam Inc., West",1188,10475367.08,18000,12
Grown-up Bike Store,1856,10475367.08,75000,82
Strong Metal Manufacturing,1820,10475367.08,36000,38
Small Bike Accessories Shop,1462,10475367.08,37000,34
Guaranteed Sales and Service,1450,10475367.08,28000,28
Endurance Bikes,1434,10475367.08,75000,70
Classic Cycle Store,1948,10475367.08,22000,15
Exhilarating Cycles,1976,10475367.08,40000,43
A Bicycle Association,2051,10475367.08,19000,18
Active Transport Inc.,1936,10475367.08,8000,9
Executive Gift Store,1868,10475367.08,76000,88
Immediate Repair Shop,1878,10475367.08,22000,17
The Cycle Store,1912,10475367.08,22000,16
Mobile Outlet,1904,10475367.08,17000,10
Bike Products and Accessories,1924,10475367.08,19000,14
